function:(p1+p2*x)^1/3,average_MSE:0.06997239341043418
name,p1,p2,MSE
job_00001,-4.0821399900231645,4.425460400270977,0.10703029465390915
job_00011,-2.443476612239907,3.9798949231289953,0.003854163406244812
job_00014,-10.82728383553229,5.789168188472484,0.15711820997163292
job_00015,-4.479675952931057,4.787820760145219,0.07984040894917928
job_00026,-9.967943105789043,5.499299382662875,0.12627520555595131
job_00027,-10.162290051946586,5.598746198362739,0.12377831577423484
job_00029,-2.836839695845458,4.29954634741933,0.0033392832702067595
job_00031,-4.1769371082911695,4.606605141637089,0.05141910714288696
job_00038,-3.997710506247414,5.226619716074487,0.005869727347702934
job_00039,-4.2159633951564,4.588853616652747,0.09049833414617692
job_00040,-4.173712750039144,4.568519169642809,0.07730264154270594
job_00047,-2.3971332624793473,4.053986922831048,0.003397934761672618
job_00048,-4.192410385169768,5.233838372519952,0.005955600559672021
job_00049,-3.497985097117613,4.5469531674892005,0.00829851226000853
job_00054,-46.15553842539053,9.559391310833998,1.4140469362268446
job_00065,-24.226800531241366,8.28818679219028,0.5009872334158071
job_00081,-4.574004283591889,4.897406181207228,0.07609364746965126
job_00082,-3.5283914411083654,4.3501839880910795,0.00843211281147202
job_00086,-2.7728008715963095,4.258517522102825,0.006905814094406835
job_00087,-37.09164745233805,9.487835010945949,1.2958560475327419
job_00093,-4.502243947462201,4.814762636385116,0.08998081702760514
job_00094,-8.583463676475516,5.038920580302851,0.12434519976215205
job_00096,-1.6365796361390945,4.055599732888402,0.0013659143568260806
job_00097,-4.416868769573148,4.797811970591217,0.039559706734367366
job_00098,-2.7669956741447113,4.3622901301307335,0.0010042342768246688
job_00099,-24.624246513239985,8.416996681393014,0.5206282887531277
job_00100,-3.8723505294958307,4.682479259479592,0.010583891908179478
job_00104,-24.02805796583287,8.273961912786335,0.4508590178384981
job_00111,-1.8997042836563296,3.996889126099695,0.001564622504130231
job_00112,-1.7048217211909413,3.874265487361114,0.0026751107340072344
job_00113,-2.755398885826127,4.21712051267562,0.0013370246550053592
job_00114,-3.965138280897963,4.648787074193342,0.008961284297159748
job_00115,-3.0655024454355897,4.290274639037884,0.0052485491542440125
job_00116,-4.6370129868297045,4.895509210298921,0.12003424829242634
job_00117,-3.687000437817237,4.885862323746327,0.008389289093474311
job_00118,-2.3343721358589287,3.963121687112722,0.0021892450834489832
job_00119,-4.389822332309827,5.346402102064488,0.00426424756803363
job_00120,-112.78293932603272,19.192808119174558,1.0319739028829757
job_00122,-112.78381032356211,19.19292891425554,1.0320242796313326
job_00127,-1.616814942471909,4.0581633619332536,0.001392308708795128
job_00142,-4.084735185615018,4.559239672048544,0.055779713779327486
job_00143,-4.063214127616969,5.103621640121412,0.005169894136005351
job_00145,-2.6547302281614673,4.314651095793962,0.0022354458963281506
job_00147,-4.318224711524857,4.870595510171731,0.0132652742976939
job_00149,-2.7260737642091497,4.341194008486446,0.001798017320884881
job_00152,-4.212736008323351,4.730625281124477,0.05558742266386055
job_00153,-38.307242413345584,9.891555001531408,0.809026707123033
job_00154,-2.3904985201404965,4.170850551352831,0.001285632689200907
job_00155,-2.752249738023923,4.517859756106708,0.0018429146296027321
job_00156,-2.1491346345125133,4.125278218272133,0.0025807548732514033
job_00157,-3.1394656737751494,4.583802596100658,0.0014067918858685663
job_00159,-3.1947674936998864,4.100856623505372,0.011965448023179793
job_00160,-9.415304502023456,5.113793689429171,0.23863741242162076
job_00162,-1.9229238297829472,4.441464143785031,0.007086270399540503
job_00164,-2.59931949915147,4.048609193155054,0.005113746321157737
job_00165,-9.976738279851249,5.583188103580003,0.14170482193352665
job_00166,-9.95369376460564,5.578166249111907,0.14213329557481114
job_00169,-4.634470654743595,4.916381035068161,0.094556258579041
job_00173,-2.5641907795150733,4.368108742611739,0.0016707287125069322
job_00176,-3.148165731449836,4.386558611408599,0.005945910073764464
job_00177,-2.341349836715114,3.9426709553261845,0.004266306290175284
job_00178,-2.4466171971632105,4.0404662803490154,0.0011543853615178913
job_00179,-3.0418940571456465,4.380286019545233,0.003934764619876554
job_00180,-4.536140277276406,5.517120119688703,0.0067096565609332985
job_00182,-4.6522031112927,5.5431830339229045,0.0076962465359021
job_00186,-25.490960264341254,8.793181721330347,0.5219016683637744
job_00188,-2.8899765457912716,4.401584203953725,0.0023663031165761074
job_00191,-4.1229928995267615,4.847945234567736,0.006335681245800587
job_00193,-33.25093750279532,8.714464651540911,0.7107254017049489
job_00194,-31.072525535482367,8.432079985345588,0.5720615124201386
job_00195,-4.402463655471995,5.1780094849306035,0.011990151781055022
job_00197,-4.69777193685913,5.020085733438342,0.07450131563398628
job_00205,-2.9285472565097335,4.386445790382949,0.00358787591615726
job_00207,-2.6108921039848325,4.2527164799512045,0.002003132918385062
job_00212,-4.081328820102926,4.632416855984209,0.033965216789161826
job_00214,-4.028538342615331,5.311071843891171,0.00249923989713562
job_00215,-21.493584505739786,7.5124256757589905,0.4288057899277001
job_00216,-2.5773387590151327,4.279591253961398,0.0017839730889487172
job_00217,-4.873692843469719,5.576187313310435,0.013373725010169117
job_00218,-4.45198547226256,4.813650849959851,0.07920475704169584
job_00220,-4.809919089096443,5.15427766388865,0.05826470999579851
job_00221,-3.3865764031084744,4.7151601748607535,0.003121748062964121
job_00223,-2.063650620455532,4.176448397695644,0.0012695370049236965
job_00224,-2.726884228135889,4.547300583936392,0.0013976767318129401
job_00225,-3.2104537330978804,4.6157388457320305,0.002285780327797414
job_00226,-4.06704664645954,4.857451740246408,0.004271108442103487
job_00228,-3.5369284949508377,4.354975139259204,0.019560022005043847
job_00229,-4.0753073734582665,4.786399784259354,0.005538298704546969
job_00230,-4.677526195396147,4.956757770444462,0.09909404869981138
job_00231,-3.5310290390848578,4.628149559380187,0.004863697483581538
job_00234,-3.120219432363206,4.553066102451993,0.006325995624322115
job_00235,-3.5199277700204816,4.452678356061884,0.003602735634082527
job_00236,-4.6766477694821695,4.9658075147309395,0.08745041747741034
job_00237,-2.7846499031784098,4.7033393696817685,0.0026849183749181956
job_00241,-4.766588336264937,5.068647773038749,0.1005458525451652
job_00242,-5.029149257547656,5.4213260180290925,0.03017249181410014
job_00243,-2.8190349465059494,4.398412253070968,0.003551801582247281
job_00244,-4.566740088044781,5.466047709373769,0.006424435725452712
job_00246,-4.77891518697401,5.35083780123457,0.01484380404156262
job_00248,-2.407036097165292,4.376405801875643,0.003726655090491788
job_00249,-5.736798695716113,6.0423660278472875,0.06416221494418362
job_00251,-3.437075641637785,4.899075582963773,0.003059905169965594
job_00253,-2.760154679589369,4.232335946919444,0.006677036727621558
job_00254,-5.387181405933516,5.765341273609119,0.048127719673955835
job_00255,-2.3873204478216126,4.298213610047792,0.0020074784335545187
job_00257,-5.119544516180788,5.3964718711739454,0.10601167208200088
job_00258,-2.6626076056988754,4.094386431579718,0.006221923872127669
job_00260,-31.29983547134148,8.559008904248824,0.5979284336855203
job_00262,-2.9760646609946484,4.309247519295243,0.0021892099107446734
job_00264,-3.473298992766393,4.679115074048442,0.0036936836282330837
job_00265,-3.6881627867490896,4.725056166144871,0.002051037603060509
job_00266,-11.772082890468935,6.199894357342895,0.13168617917403372
job_00267,-9.952266822948005,5.325481095557125,0.18865973235600106
job_00269,-3.6239158343647166,4.750165826146732,0.002989175117961822
job_00270,-3.2405420319283857,4.81903676900828,0.0019638757592333475
job_00271,-5.017180986632099,5.383875249362237,0.10886761047678147
job_00272,-4.154447284259668,4.711405434791752,0.03257087781405402
job_00273,-4.076043042152976,4.52235207435964,0.04415529845086063
job_00274,-32.3942703025024,8.49637176129979,1.533515138995145
job_00291,-4.414025032121513,4.722912425332729,0.10806595270163359
job_00292,-4.791352975161476,5.250935338052224,0.017004577356401315
job_00293,-3.1218095980327614,4.643014766823648,0.0024629533695993007
job_00295,-3.046601637408697,4.62952307654453,0.0023158834870793178
job_00296,-2.807400713503321,4.4496709183785255,0.0026494390596703042
job_00297,-3.2931665024897865,4.780483251642203,0.0027931983233077952
job_00298,-4.5472026603392095,4.9415391445432,0.078500981791512
job_00299,-4.565074449218923,4.931930527758867,0.10478495706844979
job_00300,-3.029602632084994,4.155604626893397,0.0021556350786345446
job_00302,-2.1494241374788934,4.4592972069971095,0.0022185642278112253
job_00303,-3.69913891964805,4.590686137194016,0.0063744790010173795
job_00306,-4.286995892733144,5.084757768696976,0.006951894233577373
job_00307,-12.166233432264972,6.410580571262713,0.09240340487764855
job_00308,-1.8479339969285271,3.9242475917245794,0.0026979365804137663
job_00309,-2.775825777141281,4.378286699101356,0.002926137586840157
job_00311,-4.664005277761412,5.167732175933222,0.03532157260776219
job_00312,-2.4231561920733427,4.310332752483453,0.00245986289775759
job_00313,-25.95970034382241,8.916440872373226,0.5644406656964177
job_00314,-2.837156063643654,4.1555629644883405,0.004603289079322956
job_00315,-3.5767488207519404,4.5531203095701045,0.002427417882278201
job_00316,-3.4972228748120484,4.69199353491381,0.0014105303897762307
job_00317,-3.423914695976795,4.660238151187719,0.008177766645909258
job_00318,-10.389394145158574,5.867147334397538,0.1079670604763258
job_00319,-2.8594475788972598,4.440507419821843,0.0017846101014492824
job_00320,-1.7740480321891134,3.982782711716752,0.0009521123250991878
job_00321,-4.52756591540598,4.808471333374918,0.09856632116410625
job_00322,-3.409166987777921,4.837706846031415,0.0048152612430541
job_00323,-1.585608299658338,4.020362563147933,0.0021844354811215282
job_00327,-5.426528453752081,5.863904113158418,0.018942931789222794
job_00329,-2.2188372531306597,4.091089322266312,0.0024312052168436412
job_00330,-4.153579192343284,4.9830234098898325,0.003810950042375277
job_00333,-3.57410703267268,4.624517544554936,0.004855872957489496
job_00336,-24.97422348754213,8.545260198650631,0.5408795647201255
job_00338,-5.967201249059171,6.313880986708006,0.04108553381166962
job_00340,-5.070579545828351,5.710056883163912,0.007345408482973511
job_00341,-2.2899465453901144,4.311537796984574,0.0013767591339883677
job_00342,-3.040418841432863,4.802393042084709,0.002883486922087778
job_00343,-5.209131571740469,5.552546662877701,0.07004813466338433
job_00344,-4.030494743714147,4.587524915285848,0.017030666957848852
job_00345,-1.6436834353553187,3.8831254993158595,0.0014594749592332277
job_00347,-1.5753799070637486,3.9655664438635005,0.0010936063357996832
job_00348,-199.5360299015463,22.649859533074544,3.4638480301574104
job_00349,-205.0250080311587,23.279427050266378,3.385265865141827
job_00359,-4.150880117114643,4.761325423471271,0.007812465125798143
job_00360,-25.147003605160545,8.597709495688662,0.5527329110720163
job_00361,-9.64065412313175,5.721886792862467,0.11354925921820941
job_00366,-4.366873314650288,5.262634231045636,0.0038012696908263075
job_00372,-4.760254888176532,5.150197834701474,0.05788053315920068
job_00373,-4.723292330459349,5.573493729059992,0.008006688299116825
job_00375,-4.650997687872306,4.971723541437323,0.0782779980532331
job_00377,-3.009779866760767,4.482588408633451,0.0031895188191794995
job_00378,-4.231535271682051,5.185046113521487,0.006863674041229583
job_00380,-5.22596726863362,5.885508747805616,0.006353135542584877
job_00382,-3.6046736982809655,4.6628256755817645,0.008179388390049449
job_00383,-2.8077548751116783,4.232126473687683,0.006914997303851074
job_00384,-3.0213348970387295,4.489566362593627,0.0030375424357474176
job_00385,-3.5769246645956754,4.5209630503096045,0.005256579111766426
job_00386,-1.6990993981755529,3.8741689568791338,0.0015970361538812363
job_00387,-3.9330750569676387,4.634956454458504,0.015667260424828904
job_00388,-4.067001884347258,5.297634127990462,0.003960944001050452
job_00389,-3.5518910231863954,4.2557733085225085,0.022073752027945096
job_00390,-4.471359270031135,5.312791239193561,0.011160146868846763
job_00391,-3.002075430529604,4.302496943120308,0.00525774667295857
job_00392,-4.238081765167881,4.983039228350297,0.0022102983761382636
job_00394,-21.11012241806931,7.4107436653224585,0.37724637552227214
job_00397,-5.084909154034398,5.501746075016385,0.0700027383111881
job_00398,-4.736416995957865,5.039271331467373,0.10189288451432561
job_00399,-3.3905566197399994,4.540262098628748,0.004112270868287423
job_00400,-4.5935383517512145,4.929127345976357,0.07442545275647913
job_00401,-5.340368232968785,5.719148729800965,0.0911568167727496
job_00402,-3.538781175557904,5.069660506426418,0.002754359131219628
job_00403,-4.481801429818112,5.331707229653441,0.008158155736560759
job_00405,-5.678435221034275,5.9715445069117745,0.0430741591024571
job_00406,-4.204289970419203,4.894287578423382,0.0074714130758379285
job_00407,-5.867765197385107,6.2748950753975885,0.036891210373890315
job_00410,-4.215332546501819,4.760464600850322,0.016874074459612195
job_00411,-5.185028936469224,5.607517544574048,0.024509337609191127
job_00412,-2.247313167910175,4.223868668349085,0.0026797148757828574
job_00413,-3.7392351876220444,4.740747191046705,0.007825487625363068
job_00415,-2.616856375332905,4.215280587770407,0.0037749580839884825
job_00416,-8.308567416178372,5.08040716114727,0.15577669521181844
job_00417,-2.821166200968811,4.441940656348113,0.0035199834087715834
job_00418,-5.016135474044579,5.320083424756554,0.0785918596051422
job_00419,-3.664603723652014,4.796042882823978,0.002622443437590617
job_00421,-4.29412026545479,5.298037801727971,0.006207789612918297
job_00422,-4.297775739264693,5.128699878131243,0.003600259360971874
job_00423,-4.782780737691911,5.342663040660461,0.030093448311130602
job_00424,-4.235409919703639,4.734934903647769,0.0629721978342251
job_00427,-2.9841766268145764,4.475725094310439,0.003509179859563961
job_00428,-115.61559740112577,19.60482175848017,1.0970083288301895
job_00429,-5.311172930294304,5.858265513421978,0.025630813158440232
job_00430,-2.735483422841607,4.3253828459977575,0.0014245548733699993
job_00431,-116.73682781865529,19.77482243834912,1.1349784628727773
job_00442,-3.94910578752127,4.674915041542671,0.008566872014346078
job_00443,-4.411998241927723,4.740227946556696,0.08508608792255665
job_00444,-5.156218588479755,5.619339121403004,0.058338724502533836
job_00445,-3.890033468149216,5.008998112252925,0.0028441531988993842
job_00446,-8.348909751808307,4.757547403986998,0.23715391763059826
job_00447,-4.57083807675578,5.10143436588674,0.033505485430280896
job_00448,-4.99528650328656,5.260126391116829,0.131042370879413
job_00450,-5.34863026901043,5.633553425743815,0.12310740700852506
job_00457,-5.148281679369681,5.640010539472977,0.027278387496914462
job_00458,-25.467007474530654,8.699438932276705,0.5709498106006726
job_00460,-4.179942307776917,4.856768730809286,0.012230645007510626
job_00466,-5.429873703140816,5.979315205709824,0.009658555111353696
job_00467,-14.426326815442339,7.523114051567528,0.09772246278887266
job_00468,-4.2145497576255915,4.617686285820204,0.06205573895936526
job_00474,-5.688286747963672,6.050170915692777,0.07560644861827828
job_00476,-1.715992736584938,4.064193838138888,0.001987502334633114
job_00478,-4.201717616162356,4.947179499757455,0.011894793975603262
job_00479,-2.073621221565842,4.300459576761374,0.0017346329626591816
job_00481,-4.9143244057425735,5.463027509436893,0.016898137063766108
job_00482,-4.21384119498537,5.127455819945148,0.006254333993662174
job_00483,-4.349507162041085,4.969677804760779,0.01340549344751691
job_00484,-1.7103740479091416,4.0832046309522525,0.0012497268886018404
job_00485,-4.54449135572601,4.963818834043045,0.046821601738523615
job_00486,-5.183130233644235,5.643391676794004,0.021569369735784508
job_00487,-3.9329976259312898,5.116409362311148,0.0026194853958517944
job_00489,-11.341004149252354,6.068868352705699,0.14637002314535866
job_00490,-3.6646873318922966,4.757341551569001,0.006918723695296171
job_00492,-4.631572910924905,5.180194914105048,0.02716716223479834
job_00494,-3.882061513894032,4.73584542840174,0.011956563268129444
job_00496,-13.518707402215702,6.950487088041144,0.2620182697757466
job_00498,-3.6460365262183205,4.819518323390986,0.003739464524942786
job_00501,-5.552542333977822,5.84330078763559,0.04315109091758795
job_00502,-3.999430051437351,4.80422151131077,0.006299246602396991
job_00511,-8.643294444891778,5.04344143659713,0.17806719719371122
job_00512,-2.453762067428322,4.167801953599292,0.001712227122498433
job_00513,-10.358214902181691,5.954001989719823,0.10692076266098846
job_00514,-3.59001304104378,4.371513956167586,0.014863527025868913
job_00515,-1.8440538916803544,4.012553216666501,0.001190478495655562
job_00517,-11.1586428494661,5.892499007512528,0.13279380040010558
job_00518,-13.080211887856445,6.75401292895841,0.36428012845497526
job_00519,-3.49739767962062,4.635549793286822,0.002389381713813401
job_00520,-2.920843901727631,4.512710013763875,0.002433094435376061
job_00521,-1.9635457480235918,4.273982146234224,0.0019250996467315628
job_00522,-5.279568801323706,5.6809032407118805,0.03413786967382068
job_00523,-13.89919604974771,7.165162290599238,0.23704624439307997
job_00526,-4.339662142004827,5.269625753019435,0.0024759886679324395
job_00531,-4.602460240844736,5.1370511613038925,0.03012411822241677
job_00532,-5.054390223585129,5.731496871589733,0.0026816761786560665
job_00533,-4.259467884883179,4.749568522576209,0.03919910179955572
job_00534,-2.7534719509782235,4.335539450807472,0.004444851630165053
job_00536,-4.33868215519078,4.685350804688591,0.07259838889896549
job_00537,-3.945813120650133,4.606522721354491,0.014859803928228147
job_00538,-5.052880180289743,5.6046795274187025,0.005905196597473589
job_00539,-3.189768680613003,4.787955227326693,0.0034222470509659582
job_00541,-4.75966307404185,5.07142762291601,0.06342942994090801
job_00542,-5.347128176236012,5.663729691439086,0.06245200215894441
job_00543,-3.3711196703009594,4.431863791553747,0.005543353496802664
job_00544,-3.828029723171808,4.622375439702746,0.016394339564445908
job_00545,-4.19126040894745,4.893077192923513,0.02118302741977686
