name,p1,p2,RMS,std_dev_abs_diff,max_abs_difference
job_05978,-3.558703263574538,4.8366016133526015,0.06664373192355762,0.034925023300749404,0.36023976751687714
job_05979,-5.12291463491439,5.614480075243932,0.10618736346116957,0.057154501343954854,0.5725078171959935
job_05980,-3.682645694437032,4.765037782474081,0.06769340727711214,0.03348607387919754,0.337080141581777
job_05982,-10.633004035806492,5.87097360329559,0.3578082973969311,0.1808443530590287,3.0443556655053725
job_05984,-3.4445968894638788,4.188747165198503,0.1403712820971829,0.07320432805021884,0.45565801705050646
job_05986,-3.948013940564788,4.810182784342293,0.05947986750182512,0.03268452244313963,0.41023271031720754
job_05989,-3.743953690893892,4.74199096996968,0.053825015550255394,0.032901365115291674,0.3628446688057876
job_05990,-5.1551098105746735,5.529760865250559,0.15283130036319278,0.0787293335701437,0.6411889581460405
job_05992,-3.4193656196840534,4.776057096970526,0.05460987315426617,0.036040835991562256,0.3573571379137206
job_05993,-3.3368558323456683,5.018999933898827,0.06053310401283776,0.0453080273009071,0.41149080006183403
job_05994,-12.937121616603088,6.8244463803285225,0.29961495160395035,0.18241718818507727,3.1905048179405204
job_05996,-21.510956134923635,7.483097819396514,0.623248305458435,0.29761677170151546,3.7739498360242925
job_05997,-2.5349272863136343,4.185232060714435,0.029950503979736778,0.020702043982639192,0.31266379839310954
job_05998,-4.420661628920297,4.870765727475008,0.22627981580123288,0.11347416465189669,0.5959314820109177
job_05999,-4.603705564186349,5.303321712679559,0.08673375845379072,0.044276552429196786,0.4744583247363574
job_06000,-4.303505040530613,4.965269082170121,0.07153841908034264,0.04090382562881001,0.4905862248268267
job_06002,-3.466608747664156,4.50288644731345,0.09669059685926149,0.049906015525707365,0.34991078588591895
job_06003,-3.8218947522118687,4.78390942968259,0.05273181969081161,0.03210477962810836,0.3749855660737542
job_06005,-4.595339399873744,4.952029497919394,0.24228272667603304,0.11482639226019108,0.6529682343672051
job_06006,-2.5842728608383383,4.456042816780873,0.0400959158014856,0.02895044243657524,0.3615386347564864
job_06007,-4.9408993851334575,5.468582072533706,0.11706954450868379,0.06272675766516558,0.5538739394797563
job_06008,-5.1839795516767415,5.563797206196922,0.14186132145689562,0.1053936733776385,0.6377102300550674
job_06009,-3.5142470155759025,4.937276958787636,0.06019308788994705,0.037236921461409174,0.3834070783910024
job_06010,-4.446794743862468,4.898388163162407,0.1906837564604593,0.09492004824137086,0.5947671499420908
job_06011,-2.8872774556044556,5.008876364609796,0.06679034322354215,0.04837355984887992,0.437696500880874
job_06012,-4.628072783331626,4.982058233242905,0.29462771976642205,0.14928730674127308,0.6549752965212662
job_06013,-9.714686066681987,5.706203472878642,0.3096868453468555,0.15972432217010943,2.9505523662307915
job_06015,-4.986348956418082,5.294467611634919,0.2975332092662239,0.14436165395130604,0.6865619469681639
job_06016,-3.4626476999809186,4.824879592337475,0.059862390782366215,0.03339744620448187,0.3644079157885092
job_06017,-2.462866700483926,4.649540243358326,0.055590633802262625,0.04391545929249953,0.4099836756180941
job_06018,-20.9138255130262,7.348277711772121,0.6414597609173401,0.2973827872949853,3.74708908533015
