name,a,b,c,p,RMS,std_dev_abs_diff,max_abs_difference
job_00001,0.5167362966946664,0.04910631430227163,1.1516391133004416,0.7479403794330542,0.07545269539197645,0.041474816068652685,0.7962273890030619
job_00011,0.6169778233839313,0.5091333636367467,0.584308216705294,0.44878188712217726,0.03120033529804973,0.0208652659361254,0.23593881297932207
job_00014,0.450235078929782,0.11925502219554938,1.0888285437998226,0.6509000576057516,0.06666546800136486,0.03962036834448894,0.7918498988746686
job_00015,0.6794043495773825,0.16401323534362425,0.9142584597473298,0.6005752708219667,0.0411830089131124,0.0271198339615846,0.5186424150789933
job_00026,0.6037475176140207,0.1760029123525664,0.942370311023702,0.600685970441896,0.05391868205307964,0.029797239421031553,0.5824895700334128
job_00027,0.5925775053845808,0.177272809367456,0.9534868138771553,0.6001127654060313,0.0448584458710176,0.027067395418727047,0.5917796852479631
job_00029,0.5695756955319765,0.5021712488923056,0.6383348212628663,0.45178296939419965,0.02943143906935296,0.018834616375623975,0.2902530555757181
job_00031,0.7125427925526227,0.16515306981640207,0.9181825151074982,0.5944058043034626,0.029269921865499413,0.023405455015365284,0.4842841376309752
job_00038,0.201441868132894,0.36230894101668126,0.9809583796715096,0.48620324050788843,0.05552546573761677,0.034234389017110844,0.7981591908504246
job_00039,0.5966842051061951,0.06870430072410508,1.105556634440533,0.7055889178981085,0.060094171236789264,0.03735653612285618,0.6963214941696998
job_00040,0.6492272705487723,0.08873990432430989,1.0519642373984994,0.6723829778102784,0.053890558128859,0.034613192885930455,0.6238328251269177
job_00047,0.5970064554653471,0.4797956501166803,0.6292361705243136,0.45477480781704543,0.030254164215327752,0.02481444136266793,0.28530789441797255
job_00048,0.2292475494368603,0.323779873818481,1.0037268935445947,0.5005058252189256,0.05471449468037677,0.03378823390532982,0.8089025767446588
job_00049,0.6218522980792043,0.4046229440750068,0.7223408111211327,0.4796282717546898,0.045118460901037466,0.03217810067958541,0.33518475784578894
job_00054,0.2509084191166529,0.033113415129107815,1.3520262834250416,0.8731633721093977,0.06614319360526717,0.050429521325202724,1.0780481657542391
job_00065,0.5547765592658466,0.2043893781429254,0.9342011554891114,0.6158411597308271,0.04593192731499595,0.03290315582711703,0.602594062591228
job_00081,0.7106580489837814,0.17268955964898972,0.9075779009237329,0.5949341715639676,0.0357299230541908,0.025890813414329885,0.47860239136722893
job_00082,0.596716929398706,0.46923010548350375,0.6345994032448139,0.4632997134326232,0.02367450694903846,0.016965416705747905,0.29588296511779033
job_00086,0.6396280654009141,0.35982493539570387,0.7492781676019585,0.4888009063795659,0.048143262320539976,0.0299573531726389,0.362706999203382
job_00087,0.2853464930768094,0.031563300915715804,1.3712938249693247,0.8771555901176322,0.062015242876719716,0.048603187726334325,1.0445902060074748
job_00093,0.7300396730335763,0.13764511267462654,0.9433606950746702,0.6234544476018136,0.03587024928991847,0.02441078759676781,0.4944252142917971
job_00094,0.6882383805752376,0.14339118772735215,0.9370083209561423,0.6231974559482164,0.03073664713431406,0.023112874816622563,0.5303704316974104
job_00096,0.3571591855108182,0.847631909543237,0.41532140547009494,0.392244341414412,0.03151051189778036,0.02756195497141366,0.2692285736287414
job_00097,0.6986675866366685,0.5555245907120053,0.4934593041664443,0.4573872748191425,0.03790879064947538,0.03021392149353133,0.3153621967796061
job_00098,-0.08400471695199369,1.3076010719306657,0.23767892881656316,0.3508710538742848,0.028195306327315515,0.020181908601507054,0.26076515960431634
job_00099,0.47461098972002747,0.16635210966558767,1.0259748325401943,0.6415100825160058,0.040411264290177926,0.03266161201424841,0.7211269006143849
job_00100,0.518068691912605,0.2886712109305353,0.8786861592206261,0.5180151493606421,0.03740486220798624,0.02529313622181723,0.5557100971568596
job_00104,0.5807952045034184,0.18717318758579593,0.9794734131960949,0.6245352151815453,0.05574540542667734,0.037488105021384416,0.5942116079107856
job_00111,0.416726205236474,0.7206293839624909,0.48563961508785725,0.408709178663283,0.0323035753255052,0.02075787907040122,0.22486441080103514
job_00112,0.5469167147482905,0.5808927378243047,0.5469852129207063,0.4314748724838561,0.03898806213743092,0.026722175638614953,0.23433054742740467
job_00113,0.4139561546051147,0.6440545285843405,0.5580379281519958,0.42272328746988996,0.02130402842471204,0.017147970684861517,0.30406931681054483
job_00114,0.5103626079740982,0.5691607955067125,0.5868778386899332,0.4448061536810888,0.02439719206601226,0.017016186522741072,0.28254659651918934
job_00115,0.5256902274298377,0.41927172694679915,0.721927055258802,0.471024962751474,0.04385142362365388,0.027757368846140277,0.4169880456233631
job_00116,0.7076268155620642,0.12493572866131196,0.9556408638965762,0.6390787546840883,0.03470568691393693,0.023977166898232195,0.5298174557766238
job_00117,0.5974213657422265,0.37241112332386583,0.8038798310697155,0.48964075764177345,0.057866287580201584,0.03965749309557381,0.39197751093390765
job_00118,0.41290110691836307,0.744030736304405,0.4520565377079437,0.40658795470647746,0.03869609457279092,0.02224259395494343,0.2243606206809552
job_00119,0.20053377552364324,0.5494576346752813,0.7975337035822535,0.4442516631871563,0.05238450057056634,0.031236088294637462,0.6120485898010753
job_00120,-137.9438899742268,141.15655432869673,-14.418311330783764,0.09118403240152376,0.319158749324579,0.1696313102904032,1.8507243544699221
job_00122,-137.9491549015509,141.1618890875461,-14.418728331107761,0.09118305979774202,0.31915767783302945,0.16962422204501737,1.8507241859951742
job_00127,0.19556249804793216,1.041712532473772,0.32337516325531773,0.3709701382466095,0.03223719376180202,0.02532045096993037,0.27872481595695264
