name,a,b,p,q,RMS,std_dev_abs_diff,max_abs_difference
job_04449,1.2367808046109519,-0.030753830469344712,0.7143135483998925,0.43539059132367675,0.10443811741106397,0.07320130190296592,1.0504898174300104
job_04451,1.1408124523379892,-0.0249895246431794,0.7074907060462406,0.4259381811616388,0.0784662164786589,0.06121528487260491,0.9550913811369741
job_04452,1.0932546904698064,-0.023769734218995055,0.7018463686782791,0.42139519842191814,0.07438994322899235,0.05580127841938356,0.9062032539487053
job_04453,0.9841014994598711,-0.03415469862199386,0.7278954726829653,0.44258450784616576,0.058725223017842304,0.04822330612417549,0.7984905461402585
job_04454,1.0513727672787965,-0.03067090640367734,0.7145113696032878,0.42947490198843585,0.06526866722482387,0.05339610830257974,0.8600273512212253
job_04457,-0.9967159554392109,1.435601015058528,0.34443756796819924,0.15544219518266808,0.0535888085337551,0.044414133078601294,0.4519463033644109
job_04458,1.132337567276224,-0.028165547983359306,0.7170172933823863,0.4316019931451814,0.07234443443267172,0.06133519506426535,0.9468599994785454
job_04459,1.3277570391539275,-0.02269611341623954,0.7127876007030103,0.4282311195577504,0.10261413805154768,0.0852552460574384,1.1485215911994568
job_04460,1.3723384967184977,-0.09798151245954687,0.4174600517017543,0.4174670204918039,0.11389129166128167,0.08079709926105685,1.089177503027813
job_04462,1.259827748126527,-0.029045177242573796,0.7196815483814081,0.43975620565802886,0.11874991115189368,0.08378511607261861,1.0807307138634072
job_04463,1.0900579853578887,-0.021616602317873573,0.6995686309701934,0.41661340860726,0.06510765437115275,0.05492409996977122,0.9014927881319406
job_04468,1.9019391566494253,-0.2546008242463651,0.4726840229325389,0.4726692191619024,0.1682785294455768,0.133673091408721,1.448396972353691
job_04475,0.8694401954926947,0.2605223248504927,0.5266630104211099,0.281729974626038,0.09439844540766307,0.0681434273576757,0.9718186195662735
job_04477,1.0558603071278916,-0.032933412211380665,0.7176359716097279,0.4324636197561969,0.06341295240312912,0.0538274432897813,0.8629879473214939
job_04481,1.0785122026701035,-0.034687528491639835,0.7274062055264846,0.4402915052948045,0.06919911703519595,0.058546900159268576,0.8899999237446699
job_04482,1.1742941727013467,-0.023445626578183894,0.7032736834909868,0.42310938457804914,0.08260353921259755,0.06310238546823882,0.9890943634536831
job_04483,1.5994273662049916,-0.22189568080180913,0.43722566629457005,0.4372219081867866,0.12382093969564968,0.08403709744771873,1.165255573780216
job_04484,1.0728824648666055,-0.026643474574284776,0.7035433197992772,0.42247014125001997,0.0697810442916055,0.05484241182471993,0.8820038568964412
job_04488,1.0854082145571413,-0.039875040790034684,0.7291318258563902,0.44553538458593245,0.07529290714235691,0.05927438629674531,0.8933290957051208
job_04489,1.0812450294047573,-0.03043405584622777,0.7123558941059508,0.42779934842614264,0.06700305371489865,0.056196391362574066,0.8887596189605653
job_04490,2.190934165144775,-0.4813207485138526,0.4918894211316096,0.49189079393345925,0.15959070422520985,0.10128148139001862,1.4332065659010615
job_04493,-1.0827278822247124,1.4840399923904701,0.34171941490821317,0.16080800241047538,0.0839159721177448,0.04430702423000469,0.42792865596124785
job_04494,1.0885029689398225,-0.03078150811159799,0.7121203513408148,0.4302432614693162,0.07154214636317047,0.054595049619245356,0.8977171541099878
job_04496,1.406266271802716,-0.020042126571369022,0.7143618878201142,0.43417368261244726,0.14165618316071996,0.1045832527819666,1.236418740375974
job_04497,1.0659354489173498,-0.03093861684058525,0.7161385836200133,0.4302144193463859,0.06276871748514383,0.05263187869052461,0.8745339559873728
job_04498,1.0861864703673423,-0.029252740558201276,0.7160762277964873,0.4318696417940334,0.06986707327500513,0.05570448886254691,0.8994233921413051
job_04499,0.9902817076995148,-0.02900912402737429,0.7149511279019374,0.424266121064438,0.06063258554772753,0.04970754553760134,0.796415058972586
job_04501,1.2615507893937716,-0.03126295461428138,0.7183175237015913,0.4380594582054731,0.11333250004648673,0.08342307376684265,1.0768158430742112
job_04502,1.0653988285940124,-0.01792669696293726,0.7115129411345822,0.42627685104108776,0.06997454922730854,0.055507335704567784,0.8902347621388711
job_04504,1.1592796315473097,-0.03461824318511342,0.7218826337805889,0.43828263630353786,0.07984950776768977,0.06134796670372332,0.9693230292980042
job_04512,1.1539271333378576,-0.014954230962723131,0.6915736726148938,0.41179923644676386,0.07960613357470835,0.06275167065203661,0.9717992882385886
job_04513,-0.6536973980022438,1.1408643365645208,0.3739345586312297,0.1803489209951866,0.06774867605086016,0.03734658174483663,0.47004627858237447
