name,a,b,c,d,p,q,RMS,std_dev_abs_diff,max_abs_difference
job_04714,0.8902739899395827,0.4677896927005054,-0.32005562433750745,0.814456987835821,0.7456082281178994,0.7828830313681182,0.024991412412752465,0.021274485324134236,0.3238519416974195
job_04715,0.6023068421425067,0.39797904878880835,-0.008278954847924087,0.744037862576588,0.49860255940099163,0.7577581928854562,0.031468326071206365,0.02549131011236536,0.3698830639166091
job_04716,-0.18043987358269162,2.8327922329099087,-1.6802885652693604,0.4372406091371016,0.37343826017480974,0.3734349007563437,0.032439634457851294,0.0234381407807293,0.38999620594214357
job_04717,0.1827104903418625,-1.07122215119912,1.6837508093461173,0.7452402766248626,0.4333890788873964,0.43338770543794375,0.04465042160759641,0.03141571387079588,0.5670208515111402
job_04718,-0.40204583837985486,8.595642321650187e-13,1.4384069575497294,0.2967105536526567,3.738786428450599,0.35876935327173753,0.03389286643905431,0.024708983784596322,0.32544888082926593
job_04720,-0.43217167731489553,1.583297650245195e-09,1.588655153899591,0.19614210519029024,2.735511442473112,0.3321021118068314,0.030844901967107784,0.020516569312121154,0.21569629462478024
job_04721,0.5406419517450918,0.7916209973453014,-0.5128027420602291,0.8952965883812839,0.5232036866088594,0.5232014687830199,0.03064126049217256,0.02276547061787853,0.5422197929698359
job_04722,0.33274663090023154,1.0377025010865197,-0.48113437118384966,0.701453879424986,0.44341158927758906,0.44341865977003875,0.03439193765775068,0.023010774045662836,0.4729152391970983
job_04723,-0.1231269615702174,-1.0822157823642897,1.6248777072782157,0.9428951574347431,0.4502745381297554,0.45028036866084453,0.08130706796616013,0.04950426849920586,0.9422650366562912
job_04724,2.135498757518586,0.13026210854948964,-1.5332881705452925,1.0833809380863029,0.629596040746294,-8.516124764982269e-06,0.039750638525386205,0.03333274153517025,0.6292873044772169
job_04725,0.7090364718183161,-0.55604316818136,0.7712130043549779,0.8787765895198105,0.7294934802870843,0.6989440869816952,0.04827842424592757,0.03600220746138686,0.437973692008066
job_04726,0.14282741655415776,-1.0519467209113138,1.7924146669296404,0.6406361600890089,0.4136153925050005,0.41361095431038697,0.02843060096081946,0.021182257607859117,0.4786946374275157
job_04728,-125.18571525704591,1.638120153695874e-08,126.65781419394423,-7.885128087295762,2.5908452145439083,0.06369300531652772,0.05827584873555424,0.04128262082404031,0.2679479729399725
job_04729,0.23936144922060032,1.2841904564913405e-23,0.9601798326507178,0.34737899215938584,7.350548538442045,0.3782297324717843,0.02424575884625481,0.01821372062847668,0.23990612984703685
job_04731,-443.1443248504583,443.76547173693604,0.495595543522597,-4.1095385899154495,0.010510429386541504,0.44107784121276755,0.020945168495790284,0.016495876615546568,0.24504756999967148
job_04732,0.3320113023735508,1.3983159643405223,-0.679506305159903,0.5551416555401207,0.41350495760112604,0.4135063181238722,0.02545817885894722,0.02045542100859515,0.3112690384458301
job_04733,0.4959311052598182,0.6784515823047695,0.18770346441149274,0.9895387785415478,-5.7762147343378425,0.5845317719480599,0.03951434438478647,0.024806909436374702,0.2134019619425187
job_04734,0.44329832573484007,-1.8190167463781018e-08,0.39262724688386097,0.8342157977034635,2.4014492086233328,0.48582075060978147,0.03361684554565432,0.026963777848356005,0.5259444455714664
job_04735,0.38321821250783256,0.3276888784704788,-7.499087399938502e-10,0.9659036227262906,0.504184467467164,2.827225722889066,0.04061436869929506,0.03400629527115994,0.6512029097715973
job_04736,0.3147280337254153,1.508502337794276,-1.2062013314467588,0.9699650911562662,0.5162790458077247,0.5162793957803246,0.037318716382087024,0.031133086369978573,0.7448909599270677
