name,a,b,p,q,RMS,std_dev_abs_diff,max_abs_difference
job_06762,32.12749601872127,-30.500102002753387,0.39891950781394336,0.4013822022666336,0.042289648288298676,0.0366577138542995,0.5890356235079564
job_06763,-31.187096882172927,32.76896684651015,0.42261413899755523,0.4197667753012521,0.03805042098111019,0.033959568767610214,0.5457949643991293
job_06764,34.193377689400826,-32.60066600435125,0.42397729622492636,0.4268333147813097,0.05059692027991351,0.0372083000674373,0.5624048250121398
job_06765,-22.1551533676099,23.669044851100043,0.44032718471734167,0.43634759868791645,0.03621005009187267,0.03248335481385309,0.4777873708283604
job_06766,0.5136279887780603,1.1688907009077634,0.3387418231132134,0.3387414180788446,0.04581781230304659,0.04012830191477023,0.6400622410915462
job_06767,-17.13175088489732,18.683640860727863,0.40618720566195,0.40189961909231076,0.033082038866951866,0.029276577370147588,0.49512870333844683
job_06768,-28.461407647671805,29.94793277569142,0.42617987151985265,0.42327017376498355,0.02511240186185532,0.022650142310972902,0.42844407189143086
job_06769,-36.42535319223221,37.910490810166685,0.45283695878594804,0.4500314022888414,0.03873360267399238,0.026938041733127492,0.44385213635835163
job_06770,1.7586178506017611,-0.7075893752763925,0.32981934690946996,-0.48296528159631547,0.023559107107250756,0.02195278114782949,0.3108815246746315
job_06771,-32.805177039895305,34.36242491006351,0.4172551566695658,0.4147269652308429,0.03473679977132761,0.02939092817178627,0.5112921575282601
job_06772,-25.533945674972184,27.126512484774945,0.40778053088706934,0.4047584747553444,0.03768829099469911,0.03400530345412105,0.5495635340923177
job_06773,-19.997999642717712,21.611012583714984,0.39514919839667,0.3916221910273016,0.04120080951261598,0.03491650547651609,0.5638240858756756
job_06774,-39.99794721132163,41.48844875132428,0.4658699257930293,0.4631342548509199,0.0345403774047103,0.02930230424317935,0.46214212572211655
job_06775,-21.76501248337298,23.424179446303118,0.4002460107687551,0.3969970805327183,0.04911947944547828,0.043689766290062444,0.6319484570000109
job_06776,-32.8860316649395,34.39662284951869,0.4392105592702059,0.436347738894126,0.029279747878344066,0.026186058142134615,0.4680506796293238
