name,a,b,c,d,p,RMS,std_dev_abs_diff,max_abs_difference
job_01911,0.3345488325747394,0.7689064253171437,0.49189207664347423,0.10313639707092337,0.4025259462256352,0.02975877782126213,0.018328480517946034,0.22891208106246674
job_01912,0.3935069163871852,0.37675707056555197,0.8666726079951554,0.3977754069495684,0.49646705573419503,0.04124237561680752,0.03494053542020205,0.3016329759822831
job_01913,-0.9496857412825231,0.038966253798327244,1.6661338055470258,2.4781436128531316,0.7854615338679681,0.02366835624558581,0.015740433524438092,0.1960358533944897
job_01914,-18.139747683390574,3.424474259187027,2.837864959419973,263.5481965443079,0.2199841592062711,0.026341361579134616,0.01997333281396234,0.24787612621895838
job_01915,0.3451425752613826,0.09155416850925858,1.2157845876628888,0.5805817145152373,0.6833298568871394,0.041911532605214324,0.03357506430374339,0.3687956396028591
job_01916,-0.9766989755429585,0.14427068484386593,1.5281391092490202,2.8495532537469965,0.5876844435192484,0.042694195203233413,0.03192199069311611,0.16522407620243196
job_01917,-0.1163799926537892,0.40753009677230123,1.0019010059974824,1.3442859163335121,0.4719935876985063,0.0326496662604713,0.02629149644975565,0.21713943295661786
job_01922,-0.8608180210773255,0.03076069458577021,1.6770025780016846,2.3449963996520164,0.824650012018536,0.03803530454338962,0.021543596197802124,0.16900100392042194
job_01923,0.28887333583719677,0.4160450633512789,0.8379781342112674,0.6249187323810321,0.4690785160653279,0.024560822312140726,0.02013889333727972,0.24989857623818867
job_01924,-0.30337543657640237,0.7936575649498061,0.7089706915678603,1.649373456221909,0.39845592615955067,0.01693122979073891,0.014079530591515482,0.18081129258697004
job_01925,-1.4198078589024572,0.0566043601684384,1.921645896087692,2.3042784458856422,0.7178529374846077,0.055347777009661404,0.03262955171489008,0.4285674891000282
job_01926,-0.2187904200401319,0.170735484842828,1.263407393886234,1.4768375826074864,0.5683404224660771,0.029704965109648544,0.020684915840713098,0.26395643983087047
job_01927,-4.8711899004811645,0.0010487375973220526,2.803454587283673,8.500640778414343,1.1871045998129337,0.05090310148692476,0.02964238258656479,0.25316426156366756
