name,a,b,c,d,p,RMS,std_dev_abs_diff,max_abs_difference
job_00874,0.13271024276566998,1.1557235973210742,2.463079522763534,-1.7899862098583115,0.3350556324894004,0.03494965295527571,0.027545752609178995,0.33979323237213643
job_00881,1.0177304389196264,0.8759375468730956,2.198357270968889,-2.1704168612050974,0.3839688029438098,0.09531540479388124,0.06791283375478249,0.720452142487388
job_00882,-0.0421288981604744,1.269654668503473,2.5055510045889933,-1.9391677777112317,0.3354279123495153,0.09156548219883759,0.044991609088036254,0.35677892180781634
job_00883,3.8381851944020124,0.8170391723454502,0.23754939556594348,-3.0834439654427492,0.5331616481722434,0.11703526639082384,0.06696147809705791,1.0493449185851798
job_00884,0.18521224794080288,1.1804425950754522,2.4046400831606545,-1.955016106880687,0.3403398916016513,0.046422132207008825,0.032778730455502086,0.40206038255433896
job_00885,0.19669428271232323,1.1863640630261436,2.505940829210056,-2.102995967555815,0.3393502286008142,0.056390132743655334,0.03719956364654215,0.44056824825205787
job_00886,1.0184517962635895,0.8156349045051112,2.3073638232528557,-2.2700343428656784,0.38417224415217777,0.07233178324845328,0.044878319152670446,0.6619287727782446
job_00887,-0.018877515140313134,1.2228303264602836,2.6162677061584616,-1.9399781333620485,0.3372055994244405,0.05737117785137565,0.03228456950745022,0.34587962845128684
job_00888,1.1316570710326386,0.8131699493508426,2.268333037017452,-2.25512650078267,0.38950847031952746,0.08819904370271024,0.0634865119479429,0.7644772976208358
job_00889,0.08632836423552352,1.2128069996675184,2.531685271020556,-1.9898001187730325,0.33468496731497915,0.047433469759987495,0.03348254625995035,0.3847594736860489
job_00890,0.6932044926860345,0.9648530495333769,2.323581243685121,-2.1722344556033764,0.36048950382184336,0.06217255996214535,0.04195555259920815,0.5425155726490776
job_00891,0.18626801816113966,1.1248273219860268,2.4541380005348654,-1.8109270521079661,0.3371126715438201,0.03248036302544141,0.025973407570288782,0.34458149618091594
job_00893,2.1764247847054508,0.777017296000334,0.7965008368039743,-3.173618563044723,0.45353507396849535,0.07334093082668686,0.04816245033261119,0.5066778216685401
job_00894,-1.7943986697958116,1.9964181989787444,2.9024607127337654,0.6999579574625585,0.2892114777360033,0.050501429296834675,0.030817361770664135,0.2641411452665994
