name,t,|M|,RMS,std_dev_abs_diff,max_abs_difference
job_02328,0.7396372347087192,368,0.17081006638535326,0.05816874000067621,0.6711324709190238
job_02330,0.7206125392616463,368,0.11702123404647528,0.05347195517509086,0.6463671164725624
job_02331,0.7373533232381255,276,0.2138849986353881,0.06823512228630155,0.6329991398713881
job_02332,0.7501445760770922,368,0.31567779253031736,0.11152184611794631,0.733889541163327
job_02333,0.7484926916352286,552,0.22199563992169466,0.10038497875240952,0.7685394489577466
job_02335,0.7413861885626352,368,0.437588096330486,0.1588087188046282,1.2878764920666748
job_02336,0.8084406128526186,184,0.5260685787597827,0.1195263804044515,0.8062766024836019
job_02338,0.7246597068460183,368,0.08877317549536809,0.03922169346618547,0.6271286843572204
job_02339,0.9461456976311233,184,1.6640109155813942,0.33415128521237836,1.460743725695174
job_02340,0.7325979810538356,276,0.21491803019577232,0.07472855004369265,0.6930885086837864
job_02341,0.758637648217418,368,0.2613044043549499,0.08140884978233709,0.6634108790100945
job_02342,0.7326546482107478,368,0.1511824053560428,0.054035046018366596,0.6615772444972106
job_02343,0.7212757808434829,368,0.0800002547800727,0.039326216644450074,0.5850625716378177
job_02344,0.7197685400948077,368,0.07026592014294343,0.03674774715400301,0.5685399088052323
job_02345,0.95970341793301,184,1.0146601436093694,0.20213017833119717,0.9941512154673027
job_02346,0.7456380363389745,184,0.32598845648911445,0.07843248341425185,0.715226665719789
job_02347,0.7583617275477029,368,0.2486629088885028,0.11703310565811716,0.7978905796992544
job_02349,0.745808456142849,368,0.18677860426610127,0.07294964455824343,0.7911182608433309
job_02350,0.7500523356488864,276,0.29511018069074985,0.08109297987460723,0.6805830900142382
job_02351,0.723082979745194,368,0.3211720247727296,0.1487216215859709,1.1335001034558418
job_02352,0.7961771078904646,184,0.2359548202792261,0.06970137079973938,0.7469729635603641
job_02354,0.9038777011673318,368,1.1512120972777582,0.3322445691661277,1.1901507507392246
job_02355,0.7231441576056834,736,0.12383049106566621,0.07960892742547046,0.8933204398137689
job_02356,0.7382928564218071,368,0.1440699529046401,0.06541583001264353,0.7994270865228554
job_02358,0.735032813448827,368,0.22953991871897247,0.10453308902760922,1.0090024999122316
job_02359,0.7451529355469804,368,0.11571772148492927,0.04392310143215808,0.55814606480563
job_02362,0.7580072192837831,368,0.6857240720176693,0.3189257029223101,1.6408957769934491
job_02363,0.7462038167325968,368,0.3611157882604577,0.10496549021624074,0.8460327903594675
job_02364,0.7699936705871024,368,0.3191345376473217,0.1001879329790862,0.7111151960384181
job_02365,0.8786123552996087,184,0.6298441934305603,0.12268346362888777,0.7149593674923673
job_02366,0.7226621959617557,368,0.08043309788852161,0.039102571767807265,0.5953913604498713
job_02367,0.7201158657160749,736,0.0550323474171986,0.03382516094431511,0.5364782697398514
job_02368,0.7371416712137687,736,0.23290501150045873,0.1042080196176209,0.8510863500419892
job_02369,0.7505482458240823,184,0.2961237602809382,0.07885202163402343,0.7819280822402457
job_02371,0.7217062050579095,368,0.08528200841819639,0.04171321572317982,0.6168814243315031
job_02372,0.7301396683180646,736,0.15996784792731428,0.10075258291042817,0.8100899656028218
job_02373,0.731891086015883,368,0.1913200988776336,0.06199664722980153,0.6866562703882482
job_02374,0.7196155491224143,368,0.13625246799811688,0.06951632236472635,0.7814032625217007
job_02375,0.7264336207108824,736,0.18718296571639095,0.09228913035727948,0.8695818932097845
job_02377,0.719168063972402,736,0.054996714443901924,0.04048773888375796,0.6150033119792162
job_02378,0.7765520074157543,368,0.37913332780744174,0.11978840728938747,0.7474175524481883
job_02379,0.9331290090572718,368,1.223966495999095,0.31569304622793604,1.2154668727819349
job_02380,0.7214575651817455,184,0.15731396791165703,0.05730461890404999,0.697885173343237
job_02381,0.7382807257579025,368,0.2653278090621959,0.10924026969795238,0.9292186007102023
job_02382,0.7363472091218438,368,0.162791882427818,0.06144742824721305,0.6947966439340374
job_02383,0.7473400694144228,368,0.28992443924512407,0.08076779231322223,0.7654468830836056
job_02384,0.9949598370133103,368,1.355530993420927,0.44573600078284276,1.5462499079056844
job_02386,0.7237171811186682,368,0.1690013629094174,0.06483971641990365,0.7398830629525341
job_02388,0.7213513745629493,184,0.15805378013894106,0.05161917616895002,0.6702158550215114
job_02389,0.7186748744322755,368,0.08833379883459917,0.04679124494478627,0.6760785381080707
job_02390,0.8083025518201438,92,1.5755496187694318,0.2330225841631513,1.032047853965917
job_02391,0.7188770507157868,368,0.08140320110249989,0.04016729258373545,0.6219363862246912
job_02395,0.7215999252273295,368,0.1753299754940783,0.08030551097510462,0.8042521806125993
job_02397,0.7361062399500096,368,0.16207446827550204,0.05955268521456083,0.6576134295535963
job_02398,0.7168933593346003,736,0.1283354491788302,0.0659784221685307,0.7841556316473144
job_02399,0.7206521843088761,184,0.23179089107281708,0.07842519844348289,0.8753328186626308
job_02400,0.7178613019760094,368,0.09881510809768583,0.0498064628505966,0.7024467780408437
job_02401,0.7181040919762388,736,0.07010547650364037,0.05213618648435734,0.6806618805736397
job_02402,0.7258561974925949,368,0.08966115080520205,0.04276617976486439,0.6412377215133978
job_02403,0.7428279518588135,368,0.21636470628325777,0.07628958838488625,0.7821760160676858
job_02404,0.7413279624829957,368,0.09467958357774801,0.04657485342083517,0.6664748260677087
job_02405,0.7412866248042367,368,0.1695773129136417,0.053470316051287034,0.5782759951086147
job_02407,0.7705617468696695,184,0.3813808073656767,0.10226752756128883,0.8278689904496099
job_02408,0.719478022870188,736,0.054449742185532043,0.04123713221665377,0.609716733351588
job_02409,0.7548191482822065,736,0.16498891133014812,0.076404439607719,0.7123604696774686
job_02410,0.7762282641488842,368,0.8911400379442349,0.3553189385544643,1.700667028117277
job_02411,0.7234551626567829,368,0.13464397963575528,0.06713875950830384,0.8096790157835569
job_02412,0.733637034725642,184,0.16696721952099738,0.046754078743838884,0.6038896680444958
job_02413,0.7262054407056734,736,0.10825122603307194,0.07034477625111095,0.7287892426610643
job_02415,0.8685528563028322,184,0.9891588822472289,0.23154691913861566,0.9808226342453823
job_02416,0.7201213199417236,368,0.1466800661203301,0.07833449450729231,0.8270626771138185
job_02417,0.7935544965188728,736,0.29164070905331174,0.12213446219636238,0.6319656074173905
job_02418,0.7419242781473274,368,0.1412032022131733,0.05263281262842491,0.6452029723862271
job_02419,0.7426864313062236,184,0.5548251941514682,0.10971822859054885,0.8992167232759869
job_02420,0.7310553989310394,368,0.44001996961905143,0.11508162768933881,0.8561142596634035
job_02421,0.7269187647639689,368,0.10617192516339027,0.04499886124998492,0.632909236726759
job_02422,0.7177098247344298,368,0.16494628125368566,0.07919028641231735,0.8730347183998806
job_02423,0.9276357438128197,184,1.3345862649547835,0.29595649673914887,1.0023553164789512
job_02424,0.904101707944008,368,1.0939631917440529,0.31013159967067705,1.1244983027745654
job_02425,0.80074426985205,184,0.4143571911246773,0.08791598811749568,0.7276358199387147
job_02426,0.7417567561552744,368,0.19537734623027486,0.08359371071561877,0.8320824105428171
job_02427,0.7317893491670514,368,0.1323175289620051,0.06405335830110584,0.8171863785605766
job_02428,0.735572941985011,368,0.16043918305381824,0.05908411562623496,0.6874286378494552
job_02429,0.7231930441833287,368,0.07969626978947984,0.039599322833120086,0.5872251903414478
job_02430,0.9331031940292848,368,1.2156712377365477,0.31793199277080175,1.2059151262391659
job_02431,0.7510128229734231,184,0.3593370421239108,0.08101486063330318,0.7310031493115188
job_02432,0.7237655472979996,368,0.08443871823505456,0.040135599659330036,0.6075513390140408
job_02433,0.7361320372392762,368,0.158569889085116,0.06773043648565327,0.7750034857247734
job_02435,0.7212295408306046,368,0.11231804110128388,0.059947276693356956,0.7215163776940676
job_02436,0.7221201438499146,368,0.230275954824103,0.08867448264655071,0.8862533705215618
job_02437,0.8568900948208861,736,0.4794696374259413,0.19507358615684145,0.8212852854922623
job_02438,0.7280976522370736,184,0.2038214122055994,0.05256165325738626,0.6463858967652261
job_02439,0.7201702296479104,736,0.06251125454919489,0.04826113111638027,0.6587593928493909
job_02440,0.7479352270887704,368,0.11953838304927483,0.05314902195199407,0.7118633362766751
job_02441,0.815028685750793,368,0.5299384196518757,0.17877164498895515,0.9384805355405188
job_02442,0.7246316335608438,184,0.21295870685848192,0.06903594189339006,0.8139327429036913
job_02443,0.719625415013254,368,0.10122624115731745,0.050237518247203065,0.668154524114863
job_02444,0.719225152170543,736,0.06107854827877321,0.04632219001888735,0.621928074773062
