name,a,b,c,d,p,q,RMS,std_dev_abs_diff,max_abs_difference
job_04038,-0.2902998244914791,1.8604349861289375,0.017761187949759137,-10.999909360494703,0.32452306629337224,1.0,0.02659965441772884,0.01908386468933737,0.22404744829909284
job_04039,2.9661905709894114,2.4969682370831925,-1.1218391614416834,51.71608132161796,0.3140706908337413,1.0,0.018630439473105588,0.01604868359117565,0.34662434524275687
job_04040,3.199857853545601,0.31312347154943004,0.06859190503622296,-14.997867114580798,0.5829718332449926,1.0,0.09673043046294684,0.07674139159426031,0.917695839844759
job_04041,-0.706112169636607,0.16650895367214572,1.3459047165493447,2.93397828801553,0.5697217892378982,1.0,0.023433682066507523,0.01808537944314413,0.2016765487661527
job_04042,-5.108256352695787,0.003352871075495996,3.106716553735265,6.65961683831112,1.1156794936429535,1.0,0.046712182046838656,0.032757990666056655,0.19633462303927596
job_04043,3.271012466261553,0.41315552078189555,0.07325119127006678,-18.997842270819962,0.5484420609809845,1.0,0.10339918202812742,0.08681955583101175,1.037507883773368
job_04044,-0.057314175815234854,1.643987659921332,0.014850442563224578,-9.998773612185866,0.33599290882887045,1.0,0.02964420482705152,0.01700047143781049,0.25625712763369113
job_04045,-0.9791968431636527,0.013172841133340319,1.771708920369136,2.1519311545671966,0.9171034482639684,1.0,0.03476952637393305,0.02146177680131818,0.29340500126932656
job_04047,1.7492676286424593,0.9032393518960513,0.05473115748008912,-11.999452874434343,0.4251270289019097,1.0,0.04606246162254489,0.041698956957820936,0.4653435467002509
job_04048,-8.199578405364056,5.0645900379361255e-06,3.5771552393994313,14.787180105829082,1.9074783296327784,1.0,0.04374261840676926,0.03476807431241479,0.4025601308142708
job_04050,-0.23873407011453335,1.7706363036507056,0.02154821192313996,-3.9989123178964894,0.32728126655120043,1.0,0.04092297276195794,0.029374576825042006,0.28031226098474527
job_04051,-4.709830657275769,0.004198298805642637,2.9239979566263505,6.643865525420504,1.0222912054317315,1.0,0.022075090263248772,0.01463108800498397,0.13885285193423824
job_04053,-1.6307271848472258,0.03118846550995142,1.8683803330311977,3.8020509262862423,0.7704095681569229,1.0,0.05321216022120575,0.03324288580984462,0.21984038262897077
job_04054,-2.410010020160157,0.019377840484702306,2.3898518978218397,2.75836472016453,0.8438948666545997,1.0,0.09576782811976489,0.0571891535744147,0.5884466289837651
job_04055,-1.2644230119682274,2.3322872206195395,-0.01654655074895665,-1.0000029575211205,0.3041128427614024,1.0,0.02776111516235666,0.017993134036760814,0.18874357993550905
job_04056,-0.18372320934385689,0.6335359573542321,0.817719479580427,1.3864535762190469,0.424576793987262,1.0,0.056090879448745565,0.028005524998588036,0.20092797603617996
job_04057,-4.539048711962011,0.0013480639083316792,2.841074651137895,7.278969364059979,1.1775576467217628,1.0,0.06229830650604806,0.045453758239015186,0.30525594118667465
job_04058,0.2061685462931661,1.5918509621925037,0.023510269882836412,-10.999888054350844,0.33905820084393934,1.0,0.03881427401210968,0.026781174017973027,0.298464316873438
job_04059,-1.2980030866802486,0.01380843187553842,1.8389457816609784,2.7892930020491047,0.92830989860234,1.0,0.03832619602921818,0.023024884537789708,0.19646885881649334
job_04060,-1.5753005129326476,0.18022548252978193,1.64013632839385,4.204014080381856,0.5482110768405413,1.0,0.02638690433118935,0.01608863154344607,0.19357916149851184
job_04061,0.14288660231077333,1.807067149553996,0.03672448307308177,-12.999676910740556,0.33656174725368715,1.0,0.05537993556795001,0.03529329819199975,0.3189293879071404
job_04062,-0.8211035256776209,0.26387945003403857,1.3200914073944097,3.0262951972003678,0.5156362441027547,1.0,0.027785115996142962,0.020663727522393614,0.20339615685694046
job_04063,-0.49561536942989876,1.8477894936915686,0.01060407417605205,-3.728135442538427,0.3217433377737756,1.0,0.02604159776148988,0.01929843385202709,0.20547014072057457
job_04065,0.6805536053451604,1.2979835930838406,0.03128547866278928,-8.998686972332488,0.3638078498474125,1.0,0.04985130505368118,0.026721910315340734,0.2861022433566429
job_04066,0.26954911520861013,0.8891576914459186,0.4556164743781022,-0.07318901610418507,0.3901860772385485,1.0,0.03873192401102621,0.02599963430658507,0.26379013914557925
job_04067,1.5124514627805818,1.0645104792126499,0.05455281831030285,-11.99912054759874,0.40250098461800204,1.0,0.05294766903133248,0.04313694980095942,0.42688852018755097
job_04068,2.2115459543361653,0.6678239060270785,0.0404151403634987,-19.969620846803267,0.4662163742297806,1.0,0.07197797204533328,0.06402273563411329,0.90172801212411
job_04069,-0.30716981457511483,1.7724991748295023,0.01650530823891941,-3.9906194689562207,0.3236495519507309,1.0,0.02509534842975908,0.018506526363314225,0.2180899158281573
job_04070,-2.621478084276157,0.002677896705625278,2.356318537670285,3.8602317530189456,1.2130454234416674,1.0,0.0419695702498225,0.023945882938185854,0.2555576472777148
job_04071,-0.5151717133388398,0.5729471784604787,0.9824636860696626,2.2001561930742626,0.4338532703336793,1.0,0.03689005192300257,0.02550578871806187,0.1807713254937029
job_04072,6.390274933269831,2.168389746545916,-1.7173602990805135,75.06366022504267,0.34047005028805544,1.0,0.02351887592156412,0.01837869199889088,0.24223274285961183
job_04073,31750.48328633594,-31778.12790977531,5.552996652838213,135.5349674535789,-5.4191958512135206e-05,1.0,0.16496687762797527,0.09613351021162882,1.7048669709996798
job_04074,0.4190305424572121,1.4873270066694861,0.026084358127137122,-10.994116303249282,0.3476394454626673,1.0,0.028664194246957923,0.021449843494141457,0.3428781401590135
job_04075,0.32146509022094155,1.4535416165617427,0.03227782682879583,-3.999754925299592,0.3463071333217748,1.0,0.03152369965086098,0.024592128526946193,0.3844788207008718
job_04077,-0.2783789292135724,2.9351106643168188,-0.6115500179766171,14.607303310895466,0.29797236015403933,1.0,0.03137812473420068,0.024903521096659893,0.38560807873945335
job_04078,-3.4513818079231533,0.020031613647868637,2.5001870870407132,5.43080562004107,0.8292456665971747,1.0,0.02225047085229331,0.015984052837036487,0.1437311306021094
job_04079,-1.906910781532431,0.009785794519115008,2.0387545368240634,3.648496694376493,0.9418758624701342,1.0,0.036731367155142865,0.020949378775373614,0.15403604041489483
job_04080,-2.1389973722388795,2.843038562161829,-0.02392534130163818,-2.974234150529178,0.2932866601754744,1.0,0.06362101736319102,0.04339629502704486,0.29791502830104455
job_04081,-4.506404645226427,0.00027317570002880084,2.6801892224945534,8.462405003971512,1.4222099255139378,1.0,0.02721561704972491,0.02098466337915837,0.298984502673989
