name,p1,RMS,std_dev_abs_diff,max_abs_difference
job_00274,8.415070733450332,1.2505513963918538,0.5899902317575044,2.851023112165624
job_00291,4.71171339096658,0.33560351812605954,0.16629711860271423,0.735009293588746
job_00292,5.238838981890893,0.14305494754269604,0.08835943733410699,0.6998067264057841
job_00293,4.635217445889799,0.05563239636171547,0.03891734428861789,0.6129329017063923
job_00295,4.621915468136915,0.05387064541449087,0.03966477163932989,0.6106214599670645
job_00296,4.442663083730135,0.05621549205950473,0.03992418867703837,0.5834715452234711
job_00297,4.772255815385738,0.05904757977122903,0.04365885779892262,0.6332344186226087
job_00298,4.930046932509154,0.28682444597234236,0.13255632701983233,0.6604607218331431
job_00299,4.920355996078149,0.3299026448324903,0.1576141029471032,0.7838198063778243
job_00300,4.148026673623865,0.05482675580387186,0.03434874660368238,0.5367528869277416
job_00302,4.453941972354869,0.0495194932388988,0.041688800755793586,0.5847528388643006
job_00303,4.5814139399169855,0.08800355299220498,0.05334529375244868,0.6048732069550964
job_00306,5.073997878306789,0.09355362537356915,0.05721676002412328,0.6771409255005745
job_00307,6.380047070665114,0.3161848514576288,0.17596737102633278,0.8489107132715361
job_00308,3.9196434517761616,0.05398749181560128,0.034115064291993194,0.49836654445433415
job_00309,4.3713572047076115,0.05867649650686221,0.04017311534047736,0.5722805673359117
job_00311,5.155971175481819,0.19598878598733804,0.09293948079049584,0.6884576879832691
job_00312,4.304289758591318,0.0530533625135263,0.043693604304984444,0.5616206947295819
job_00313,8.851022292971955,0.7675369300964641,0.36340668915996666,1.3598735748752908
job_00314,4.148473542161236,0.07256920569946744,0.04221652427271988,0.536465579811922
job_00315,4.544161421763205,0.06021968215454998,0.04647709797333802,0.5989860893104972
job_00316,4.6832449995376635,0.04853314786057804,0.03881031961620894,0.6203434600860298
job_00317,4.651674936866934,0.09524335535425528,0.054917619446738564,0.6152261816287152
job_00318,5.841223981188813,0.3336297376082105,0.14971288314713102,0.7809428863676884
job_00319,4.433368228158832,0.048257563682431476,0.03796316566240981,0.5816560868435705
job_00320,3.978363913299083,0.03375675178630837,0.028699205451994197,0.5089474642714091
job_00321,4.796964506984598,0.3219735763662238,0.15101589781356975,0.6376990310216837
job_00322,4.829187120016429,0.07464347131163504,0.0476299140152137,0.6412862062831168
job_00323,4.016415066721999,0.04820345896721583,0.03734359169369113,0.5148121105401944
job_00327,5.8501864390249265,0.15190811223928838,0.08990900447683371,0.7823527973028188
job_00329,4.085556846322909,0.05244017826922353,0.034544565607113054,0.526358999211372
job_00330,4.97260257016612,0.07406477578762988,0.04925886466912176,0.6624324158110588
job_00333,4.615569466460685,0.07722731054876276,0.05272769304302336,0.6100104974104026
job_00336,8.48217819135244,0.7534447123076341,0.3254274408688494,1.2285977011597033
job_00338,6.298736452811101,0.21622548558577864,0.10413969375530438,0.8386011932012525
job_00340,5.697297312268557,0.10016570734007046,0.07402783719801695,0.7620113440980598
job_00341,4.305829167836671,0.040973944989488184,0.03412912531656425,0.5618549946922413
job_00342,4.794804429016238,0.05830811559538952,0.04796419448246533,0.6368200395783639
job_00343,5.53933201650888,0.2739083194764944,0.12269204604003495,0.68366893481978
job_00344,4.57737802746685,0.13937859848970038,0.06975835554551071,0.6041885609968529
job_00345,3.8790321960582217,0.040302079684012455,0.03170057957939409,0.4917619752780027
