name,a,b,c,d,e,p,RMS,std_dev_abs_diff,max_abs_difference
job_03211,1.6128349986148214,0.035386588115184574,-86.70273493178476,0.7598540317825452,1.3526048022281816,0.7884366043370773,0.04987570511949104,0.03608122711429544,0.9342885671162229
job_03212,1.7868728778180878,0.12635382267277245,-30.795654202240968,0.28571541105962034,1.5230875757511346,0.768390590614987,0.09454350728545284,0.059679363020521604,1.3215904218209953
job_03214,1.5728612086755995,0.026118420911545388,-82.92099011365119,1.154273321433714,1.2514613844131324,0.8145213279259043,0.04194782715064845,0.030978404995434312,0.7327544155155932
job_03215,1.4982765314020832,0.3031628149613851,-6.27690978830719,0.08484927570549976,1.3992816794024634,0.7245222047963472,0.06291284506884165,0.04615551839275555,0.9996628896271513
job_03216,4.949791751830187,0.24140523154500101,-12.60254799594863,0.01734721077361207,1.6990855023909663,1.228935204432033,0.13185442020413254,0.0884427739389,1.8373156128248733
job_03217,3.188021127839956,0.691791675617265,-4.948570305935071,0.007348954061119593,2.027568323689721,1.1545613794750935,0.15194269254304313,0.11789154145918682,2.5495199328358655
job_03218,5.129483728664964,0.6846846147962937,-5.313112282772757,0.006848841224866173,1.588836800927934,1.223512797571058,0.07360994422428836,0.05779932656945324,1.508152414490002
job_03219,1.1997241000348156,0.16055867885727843,-14.768488754771154,0.08000183225802414,1.8697860859842843,0.871304167771914,0.09536144953733935,0.07524137520407767,1.8313684083401554
job_03221,1.4498595309254196,0.15169280860249273,-15.291513008944026,0.1763405846170637,1.3565715937513383,0.7279736792877528,0.06458077151142183,0.044373901214960335,1.007474775878471
job_03222,1.6541390643584386,0.19037574836889623,-15.260099670186227,0.13510573057058833,1.396103659150704,0.7176885036742103,0.06865013235295357,0.04363126853766656,1.0449432359299393
job_03223,2.008246864173315,0.19932074344641493,-25.0439613200456,0.22619662985918149,1.441712303973623,0.6742584809581584,0.07086232377535259,0.05695531122298227,1.0916361515021664
job_03224,1.709033163624403,0.06882256884555712,-50.392483983285395,0.2460685236977333,1.5992967788440413,0.8304450153210889,0.07065152891311029,0.05580837045275851,1.4302635478523584
job_03225,1.1794879631853568,0.08458904120611142,-41.981824972485335,0.17349463222549658,1.7901801164077473,0.8025401067525769,0.09540985313688452,0.07493287625569724,1.8746263903492264
job_03226,5.05980862720354,0.11923330131212574,-23.16081297698755,0.030016285129479132,1.6325172417150402,1.208736562823316,0.07926666237122135,0.06286633044539776,1.6152300867520317
job_03227,-0.3222278601849946,0.13408608342087258,3.292659431164582,1.3874619304718612,1.4654172159774583,0.5835462005266963,0.09238981170319581,0.06371677190578512,1.3543310831282502
job_03228,4.7351599449766315,0.4351537053592777,-8.313311769730214,0.011406378218289527,1.6946987004443324,1.1680836322227406,0.10071085087986227,0.07388644643623057,1.7824748141674365
job_03229,4.498759110993313,0.054739809968096284,-54.78805192287159,0.06950009576466609,1.8646092755072192,1.140665591415488,0.10564459933380954,0.08862185829402493,2.1227095116675248
