name,p1,p2,p3,RMS,std_dev_abs_diff,max_abs_difference
job_06751,-0.5635901579523737,1.9861896201126772,0.318433816130301,0.033415733587082795,0.029788173700615515,0.4253408316898428
job_06752,-1.3270442932827948,2.398161656323458,0.30092448117314863,0.02094938835040204,0.015723748818929732,0.29088263695933714
job_06753,-0.6355975370921852,1.9963351123768271,0.317390525188869,0.02640870041858269,0.024372260532194275,0.3643550825870856
job_06754,-0.46098562988407127,1.921022588360298,0.3210180970749389,0.03785566204378529,0.034156163972481945,0.4505484470875585
job_06755,-0.8396677222570414,2.0481512525771497,0.3243587183835168,0.01812007115297854,0.015516705586484682,0.2370983339143773
job_06756,-0.5509240030091185,1.954897703116565,0.3185401467017984,0.028602507347953676,0.02426979815525829,0.3989363865340001
job_06757,-0.24128358237080486,1.747780021291809,0.3272948013960821,0.04613192347596223,0.030650421889727976,0.4636135757107964
job_06758,-1.9895867039518325,2.774848721455798,0.2853735041994914,0.04615501719815707,0.03322570909317846,0.5766379824960344
job_06759,-0.5468115590975109,1.8965713649157758,0.32343142295760186,0.026568899250535065,0.022106758330375356,0.3382642842468162
job_06760,-0.6813847913889683,2.021496807256299,0.31998320549068515,0.028302210208288076,0.023506635636796884,0.3539620515991224
job_06761,-0.8563512648730803,2.2171570177052478,0.30921321013395314,0.06988167929720118,0.03829347857719459,0.4024867763689344
job_06762,-0.5226180088648497,1.9614291164176247,0.31998407129332507,0.03557378201281054,0.0279863123439449,0.43785684294538774
job_06763,-0.7217356656710161,2.069962329912905,0.31478464146371365,0.029310028185020646,0.025503452586687125,0.365067231227856
job_06764,-0.8906382726723561,2.1835901964180238,0.30959384420710223,0.03918217413260253,0.02463318439390386,0.3278733205941744
job_06765,-0.69194543063151,1.9887555756574429,0.32646081446345615,0.031631998708280505,0.024940281807780164,0.31386176562331225
job_06766,-0.583593567149684,1.949776184173752,0.32187468887564274,0.029910220403525676,0.02580215545722086,0.36579644316702
job_06767,-0.4192853730718891,1.843340588070489,0.3222383215913013,0.030271422627692557,0.025657548819820877,0.3974558885712882
job_06768,-0.5911823130799743,1.8962651365616403,0.3218138185379814,0.01929662751207856,0.01738269044959977,0.2910813603253679
job_06769,-1.192202898733993,2.313814060027216,0.301003563570867,0.02863096849198682,0.01954618247661617,0.24050883870677708
job_06770,-0.5789625180201922,1.9744369787487828,0.3175587029481445,0.02939921510436414,0.026748542268913975,0.3938602101720903
job_06771,-0.609018786272167,1.9668631405161052,0.3188374999245717,0.02732339231512814,0.021757735928748686,0.35640891758143756
