name,p1,p2,p3,p4,p5,RMS,std_dev_abs_diff,max_abs_difference
job_04363,-2073.380867200523,2073.603933550493,0.00016659902943451388,1.0081782951165736,0.3769104963300228,0.03884910123444952,0.028692388490971485,0.28390311008996383
job_04364,-2.275963367676615,3.149354257508072,0.2620135481041039,3.1605397214115624e-08,2.5099010587199566,0.04165526114977872,0.027007568751074913,0.48860907856314584
job_04365,0.14118908611940478,2.0972624432664,0.34149945479881566,-0.5657297834730928,0.34149906283675585,0.05112119903505797,0.03703663250933489,0.5937427068700876
job_04369,1.569653828610339,1.7380679810886661,0.4773264208175747,-1.0006564764108772,0.47732746120060154,0.11723578413487101,0.08376789555083389,1.1079786149862292
job_04373,-1665.8073729871724,0.8499446876787703,0.3919698959282429,1666.1437324038895,0.0002557645607462632,0.03132905448954697,0.022974393755749226,0.2591374133920106
job_04374,1.2610388614516432,1.6059773020287693,0.41410774855495025,-0.6674321022620926,0.41410589056957225,0.10606820430408906,0.07939216567860219,1.023777400560001
job_04375,-1.9403006282538369,0.0036388617282347435,1.0122743726478347,3.090429611686965,0.2335224574344076,0.030348960984799583,0.01914500194753494,0.21249361479083562
job_04376,-1596.401536285346,1596.7574972091159,0.00024006828961379987,0.8692983880818302,0.3895872845724164,0.03256650085587884,0.02337651686181742,0.27263477240266565
job_04382,-13.570383333464012,14.176978706021954,0.04630718218954218,0.4446975708853101,0.45707483589008324,0.03337197410748319,0.02348414107039365,0.31059705655674774
job_04391,0.7526714776530296,-0.48907333810858444,0.43282837033245297,1.5579277858065026,0.43282963229801186,0.07776844476411549,0.0482873692022189,0.7073957671412263
job_04392,-1769.4942450063031,1769.8031064787517,0.00023207984992805656,0.8774446365696768,0.389092423637637,0.03958294439969468,0.027472050755784728,0.2548391954415592
job_04397,-2.383160875906295,0.0027595462729327887,0.9672561273275064,3.405323976267298,0.2347008589587268,0.024218141566030218,0.021205953729901642,0.33714735336606405
job_04398,0.07532313930024095,2.0780054614730346,0.33817361964554904,-0.49660629186973293,0.3381616710032162,0.050475163381764984,0.03616627488352027,0.5863323582331015
job_04399,-1.4889139829533264,2.6582123163599802,0.2695648101201422,0.0004658148826538575,1.2745819099592344,0.04816502113330227,0.03095340108910906,0.22846944272469893
job_04403,-4.966891026475849,0.02394243040654922,0.8123965416104222,5.943900439926495,0.14399909697177385,0.03283513032728331,0.023653758829571703,0.36128815614280363
job_04404,-1222.6457990590795,1.0582479577465294,0.3764593363909081,1222.8024966491305,0.0002427717576916125,0.024408915050062367,0.019715925418897145,0.2480206216279599
job_04406,-2.520953649861934,3.64417123064683,0.20488422058939787,0.012839814230100314,0.8673724252359313,0.04054834763601278,0.022736361294578275,0.2260726049850037
job_04407,0.32738933040046475,-0.6174232058196549,0.3487761697010213,2.0230710074962768,0.3487853594626285,0.05452929407525287,0.038979523706947086,0.6294899393651086
job_04413,-1.3918405998434467,2.519374562454365,0.281505061673032,6.206061924461308e-05,1.3884141180314464,0.034883751097134715,0.019792282520795852,0.23452397676983727
job_04422,-1494.375562674905,1.0015209480582867,0.37682335606705103,1494.6014718903084,0.00022959012206031943,0.03389615468457425,0.0262902465694729,0.2765931673091575
job_04423,0.17615092137590485,2.106106338778608,0.3505115755692317,-0.5675530663720172,0.3505194427618419,0.08159389612018102,0.04628510009882309,0.6496818803666629
job_04424,-1721.5965642196688,0.7272144692114418,0.42139683215964535,1722.06929858063,0.00025169385012967243,0.023407138076107264,0.020286194360923656,0.25913706207045206
job_04429,-1678.5530607906994,1679.089890882231,0.00036597415103231017,0.5524645839060355,0.4439605793018044,0.026231547295823388,0.02267473436827653,0.27239532456240867
job_04432,-199.5308104072552,199.75831024784415,0.0019244335339513405,0.9316111446815444,0.3823139346366457,0.02053063542232293,0.017445102289333065,0.2204189915418795
job_04433,-3.287596438030318,4.358200590091742,0.18052145115126517,0.019622810540174028,0.8177138969805926,0.031687170344854645,0.02322285365552862,0.2718230373984021
job_04434,0.47545463070706856,-0.6407690654124629,0.3614028175497105,1.9943684507014445,0.3614046427818419,0.0708787236760385,0.0463776687161029,0.7264424250993109
job_04435,-0.03321385986196235,2.0967227910378883,0.33190774082455066,-0.48720113988563674,0.331911247896199,0.04535629612648299,0.0343266489078629,0.5046120170132073
job_04437,-0.6534051013472162,-0.05424318254780057,0.314808090496413,2.0949498817144274,0.31480951524205464,0.054224360305971,0.03119841307178834,0.3965727123878273
job_04438,-2.2999469684674048,3.271318898736651,0.24432182656178014,0.00025517114024273995,1.3318510879821965,0.02170936613409142,0.01654788910795792,0.39044289859051107
job_04439,0.42277820739345956,2.0632759066713247,0.35695115140431644,-0.6424147468551773,0.3569579179670959,0.10219329571219839,0.059855353453346846,0.7545446750738307
job_04441,-0.2263590376127928,-6.307189674701201,0.32597019561639695,8.094655212801507,0.3259700667152869,0.05486527677414717,0.04673912990994172,0.5262308420569086
job_04445,-0.8883243187734469,2.1186108235724803,0.3068907786014634,5.305009230262445e-11,3.271874913316019,0.03408881178342892,0.02054125091203199,0.2448095218703421
job_04446,0.5222009944019893,1.9644357763473448,0.3916011703179446,-0.750511153322487,0.39159450500064175,0.08242272107089968,0.05150540613221348,0.6270507959551741
job_04449,-1.6211196729078177,6.18793873886777e-07,2.058863593543924,2.700457249253221,0.275045144375786,0.02551432209732324,0.019070071329527025,0.28289180486072296
job_04451,-2.0452011615621415,0.00730998866172063,0.8621402864945505,3.162988739703593,0.2355207039404463,0.03053904297294234,0.021924645907226568,0.23726243319682783
job_04452,-1.6268599099559042,2.8009059540138774,0.25104477159175054,0.003869025922766763,0.9231927207224031,0.0336196498021941,0.023720331492177005,0.2261372563033499
job_04453,-0.2429333451030713,2.133364987088751,0.3366560590951162,-0.4412652067678827,0.3366505634494503,0.03151976700562263,0.02549639365747122,0.40581665581372706
job_04454,-0.020458556347302988,-0.5797860055285634,0.3350780399407434,2.18549752330402,0.3350772918456263,0.044844947507278604,0.033547002022356616,0.517297811424134
job_04457,-2039.4021951643597,0.8211335240497742,0.40296989156770097,2039.5717009994705,0.0002841632957084985,0.046168288078849956,0.03271623851723525,0.37130064083930425
job_04458,-5.905109456256379,0.24431067451907632,0.5173448321983831,6.696212410318209,0.1080269930503644,0.02260756423595998,0.019702476833399978,0.32679637141909335
