name,p1,p2,RMS,std_dev_abs_diff,max_abs_difference
job_03007,1.7835923213651834,0.3355893222506325,0.07276517848754478,0.05839408901664173,0.7626122557219437
job_03008,1.5510087782002613,0.36076699459951656,0.13286260486418547,0.07522492724692449,0.5039034000935199
job_03009,1.6932589757248604,0.3462461485961746,0.06171029574611561,0.05264814910509383,0.6648330476042132
job_03010,1.6405074665383055,0.34829355118512634,0.06446709822883484,0.045376425357559994,0.6008344980211977
job_03011,1.8538917311167242,0.33879015782033034,0.1429652815657631,0.0862888251471718,0.8565086727420266
job_03012,1.5955256274683147,0.3493585256742835,0.12481195549879509,0.07193754708237396,0.5447101362315812
job_03013,1.7231671784865246,0.3330320086102505,0.05918397574326403,0.04961835914308085,0.6827311963784628
job_03014,2.0057006017754615,0.33118474477108845,0.14405407746581173,0.11095989540639392,1.0350737416270688
job_03015,1.8198581505779656,0.3514626833648951,0.15753757825642944,0.0955901711815899,0.8340823946971083
job_03016,1.4809689820323035,0.3958284278591371,0.11049663721010368,0.055662233175126204,0.45993799683727565
job_03017,1.516586547301498,0.3734363832216982,0.07636837301490135,0.043195645824686,0.47655896004345677
job_03018,1.956898208806951,0.3375668111814068,0.13134601023692222,0.10611227118645716,0.9847128011204074
job_03019,1.6120893176685795,0.3425540183917798,0.0963993731980739,0.0511140886898106,0.5560582246092913
job_03020,1.415371353748048,0.3824473024544875,0.15002974099122493,0.07890417652905526,0.35700909474986364
job_03021,1.715737945691425,0.33257545479600387,0.05981399617806758,0.05317332503706576,0.6728790678586913
job_03022,1.4893371108455822,0.34423980363568407,0.0725132593042676,0.039034280873380046,0.40270647656785497
job_03023,1.5856244462234488,0.3737852118562398,0.05856042929252107,0.04596108479816605,0.5666497689537984
job_03024,1.6392743007693784,0.3333308548532831,0.04540809491417906,0.0363199602538642,0.5775226499123935
job_03025,1.829118751450517,0.3461626250908723,0.146511041797889,0.09628738546100328,0.8370199777382401
job_03026,1.551977685447099,0.35454384404203126,0.15046947320710544,0.06486983496425691,0.4963095712464147
job_03027,1.6208186126325674,0.3635829817962161,0.18434902309906578,0.08102693209135811,0.5972832516071411
job_03028,1.6803334604251856,0.3654679326461819,0.2154588210102548,0.10964447981359021,0.6765126170371127
job_03029,1.3332409155035703,0.4237243411188269,0.16933054844643922,0.0981752724281413,0.34789812909787443
job_03030,1.3757370588038407,0.37896680249852743,0.1806588225664381,0.11101872234244575,0.5199448159431963
job_03031,1.7849512880306495,0.3370542728879477,0.0889336480641839,0.06257039792633683,0.7670154513710619
job_03033,1.781241260905839,0.34171094890722997,0.1274539039751017,0.07432052464949758,0.7692232977674691
job_03034,1.7854671754310494,0.336287356594523,0.0799707319082509,0.060545529895080955,0.7663785099695379
job_03035,1.938468475979366,0.35539836185895646,0.22018254931306888,0.1557825694065914,0.9141779104145622
job_03037,1.445868796775566,0.3901360132781587,0.1805317835927881,0.1077629563611957,0.5044853007174641
