name,a,b,RMS,std_dev_abs_diff,max_abs_difference
job_04757,0.027142453731880956,1.326006687051617,0.03768323855901915,0.03367301775312428,0.45181502835682563
job_04759,-0.15753080330139957,1.315282909104786,0.07326421135818419,0.03774611235825282,0.25146540718765586
job_04760,-1.3254923875350393,1.5008308814794018,0.29781718131907703,0.15871849002347047,1.1864215060556376
job_04762,-1.082303852973259,1.4569765453668506,0.2711168376132212,0.14184459826138268,0.9876773076064083
job_04763,-1.0846830786128703,1.5076584162313726,0.2561615094135031,0.13562762580925897,0.9389246623814977
job_04764,-0.019940977978319063,1.3002962020562328,0.05088255281567463,0.033249959055069535,0.3670106607096377
job_04765,-0.6760951847833275,1.4019320898154841,0.161746413309811,0.08284673502961004,0.6359830949678434
job_04766,-0.5993556519260477,1.4277417473486906,0.1370212040272946,0.08078394914468427,0.532883904577357
job_04768,-0.11968596044267832,1.417187378855442,0.06358407309221953,0.04320428090803897,0.44339036933392295
job_04769,-0.9986124840025428,1.4449203683658816,0.21976942491053506,0.11771253614978425,0.9160321156366613
job_04771,-0.26254555384675227,1.3785947870087223,0.05972618840770153,0.03699705109118603,0.24564076683803004
job_04772,-0.19362572116822852,1.401874696855517,0.062328946648845474,0.03307354520844102,0.34333629070939153
job_04774,-0.05070303639371354,1.337305285761133,0.04519469741884197,0.03290187386496039,0.39019493736510635
job_04775,0.00901322658438597,1.3468818507212177,0.04775268344439481,0.03625577323009944,0.46383299704190906
job_04776,0.060223982037334256,1.2692696760860418,0.03816277830146064,0.031377284794268684,0.4025776269766512
job_04777,0.016377326389083735,1.2952158203364994,0.03934516139738801,0.03225306743088452,0.39637178672475737
job_04778,-0.2567589846985654,1.40248458371284,0.046771385448564184,0.02855345986995367,0.2813859190352712
job_04779,-0.02362381382591705,1.3692065728395169,0.04735795861107981,0.03595546902940556,0.46281377751395536
job_04780,-0.01938908022578169,1.3202977520545756,0.0390865494090141,0.027879001877471582,0.39703978535276696
job_04781,-0.6422787112030311,1.400926921933772,0.15478619327510384,0.08652230592280181,0.603371789269259
job_04783,-0.941234941333769,1.5893537877884383,0.1484795364440169,0.07921774333304872,0.7140111535453307
job_04787,-3.230233128905777,2.120934823183852,0.29232286954871467,0.20812154434542568,2.4711283057219253
job_04788,0.05133137999922222,1.2591408224371927,0.0295502705613415,0.02314355879589849,0.37931669011578006
job_04789,-0.07212713913243446,1.39540746443464,0.05818408546554383,0.03873107820716802,0.45356606086391826
job_04790,-0.15982827612798708,1.339525787883746,0.04970156077894677,0.035257189037185575,0.2849022158630383
job_04791,-0.024469706757261508,1.31007841981088,0.035079021604603584,0.027382627721760214,0.37720033128398867
job_04792,-0.5577082756399362,1.5401190302986574,0.04633481528250998,0.03369103781377823,0.3796592453412787
job_04794,0.0072872952537989194,1.302167580939336,0.03888829581558964,0.03176911112694025,0.39766792933179373
job_04795,0.08910558560001088,1.4077711583000139,0.1046031167788264,0.07598624327682552,0.635690404718227
job_04796,-0.18351135892978898,1.4274390181696335,0.04978536584521442,0.038531233633202766,0.3970050274880843
job_04797,-0.11811849857646971,1.3101430267345413,0.059624226475009603,0.03649534571014589,0.28325471877266994
job_04798,-0.1649030461580466,1.3410011802169781,0.04755697054752459,0.03411497359475577,0.28151532979161753
job_04799,0.01938596606576467,1.3084497160969482,0.04183749875115905,0.031260374802089035,0.41840700687543864
job_04802,0.05336688128623993,1.2962974984283837,0.04414160515392077,0.02937300035734933,0.4349813913851446
job_04803,-0.10385851036204932,1.4230641711670533,0.057871732183337174,0.0441020965795104,0.4692669929110216
job_04806,-0.42360902799813965,1.4670404436205855,0.07441523107301216,0.048163240628608765,0.3185185843775542
job_04807,-0.3440703421891549,1.434153959594752,0.11949760029790381,0.06803453626128082,0.28857475402010735
job_04808,-0.030091819842938516,1.3175872271221734,0.04241084293643807,0.03281904204741608,0.3824377923165456
job_04810,-0.044113467059623934,1.383457813782738,0.06894486555264738,0.04103971634788589,0.4628479704069566
job_04812,-0.17880525689655408,1.4386394398442222,0.04688420025299969,0.03536942461099247,0.42050358117750286
job_04813,-0.2908048879924909,1.4931981756416637,0.13193898486430022,0.06132022075193708,0.41078377803510513
job_04814,-0.7401265263998886,1.447368020822349,0.17133396166151166,0.0922497732694529,0.6547585055775398
job_04815,-0.45498495910404413,1.4157750851207402,0.0911932323233492,0.059822062291358336,0.40099987398330394
job_04816,-1.1358153720885882,1.5236683684199965,0.2071352106246806,0.11501243207278006,0.9738270036685917
job_04817,-0.004963294243688601,1.3279130330693643,0.052594754245230385,0.04297674689258046,0.4222087071062093
job_04821,-0.5173556780269735,1.4804771557955307,0.09389701699954521,0.05312018748494133,0.3986385222314428
job_04823,-0.06711928166719394,1.3309539768987997,0.07806837958845166,0.043022213408131185,0.3644085196140361
job_04825,0.026316806125002645,1.2995948508439248,0.04281189472484474,0.030584949602135723,0.4126869213283737
job_04827,-0.47679917790228776,1.432451720486625,0.1438981262881333,0.07389450450624321,0.4059774574156627
job_04828,-3.5170372479617793,2.082562885170367,0.6642929334603452,0.33836886037915054,2.7965743627914126
job_04829,-0.18624960109485175,1.4160394861296928,0.11174759172113945,0.0535736953467488,0.3756338597313531
job_04830,0.044304251301928055,1.313250986178639,0.04359155296122186,0.03695566395414149,0.4504899218238505
job_04831,0.007384768729217659,1.3787636637794936,0.06907907085892648,0.05008071645911433,0.5078160703706602
job_04832,-0.3188505654466802,1.3135989055350654,0.11888432717514183,0.07244417784635775,0.3994200132263521
job_04834,0.03668855959182603,1.2590932135102713,0.03219477017261667,0.025368547157147116,0.36459520575398874
job_04835,-0.1827906140244917,1.488675556913816,0.10440709905666488,0.05782877705718403,0.5025687807036701
job_04836,-1.2868201972264839,1.5227509517287285,0.26377122124161095,0.13861369346162178,1.1263292454977554
job_04837,-0.21331575899650954,1.4022308791961662,0.06791303758157059,0.03821846411559613,0.32407531611625173
job_04838,-4.054594752824889,2.115917479452006,0.7018964598519355,0.3987810322248733,3.3011072733728835
job_04842,-0.29003054959443464,1.4752909752220733,0.0428752419136808,0.03578415616583142,0.37970229492661023
job_04843,-0.15421236788683856,1.4160413684085578,0.09208856021313024,0.05092934185360961,0.4068543115909502
job_04845,-1.225896173590227,1.559563117448856,0.18684368186346695,0.11278115717850927,1.028193056141371
job_04846,-0.4703404405181,1.385731049364174,0.12310090400381876,0.07241367092686168,0.44687939115392616
