name,a,b,p,RMS,std_dev_abs_diff,max_abs_difference
job_01994,-0.3087867949107014,1.5067731152490906,0.3342470670346352,0.06836438464263098,0.04238668916587141,0.4111408389266149
job_01995,-0.5304938941056273,1.5867526013900384,0.3311869810081599,0.05053986545294818,0.03212499058945376,0.34773883072696554
job_01996,-0.09749137006358703,1.3732947444468386,0.32936609282674434,0.03554834484559599,0.027887702621732045,0.38669865858593955
job_01997,-0.5531995057815647,1.6106093591970883,0.3165802270925599,0.0314871850500559,0.024195647497035924,0.30433014658447655
job_01998,-0.031210466964809225,1.4749115252595215,0.34161522537088673,0.11265067036227744,0.0861545580502307,0.6812478821763865
job_01999,2.468226539359559,0.3780565093298868,0.502065502195873,0.19507016665039037,0.13308945707636957,1.6367972015514867
job_02000,1.8764315279303125,0.5106411633622983,0.45537457650560703,0.14177604690301282,0.095457608102721,1.2299723310629025
job_02001,0.10811110190160465,1.3558166536508542,0.34203778205898355,0.1005918363406049,0.05914387598108202,0.598812824732307
job_02002,-0.37324944720467584,1.489660035141937,0.32083224930051085,0.03421895502316545,0.02771765185978403,0.2625049014817773
job_02003,0.008533576926313572,1.288964754975814,0.3319301215774772,0.03486967427200948,0.02561429492422094,0.3767888273104434
job_02004,0.34997446907266216,1.1599116934183755,0.3482658770620343,0.05312452002011594,0.04270778128902055,0.562436713751836
job_02005,-0.9280253716216715,1.88166021352182,0.30644423379099084,0.04485497365878641,0.031531419414199,0.4083751580998516
job_02006,1.0485940886014904,0.8874897665921504,0.3987675057460381,0.1019373766068998,0.08267195257224529,0.9359275783042096
job_02007,0.540426169389574,1.144296716115507,0.36641069835202084,0.12110826823990054,0.08012164328694399,0.7641234329096718
job_02011,-1.9231010649971105,2.3718490289921745,0.2854490748352037,0.050943590891034125,0.0371525414890427,0.913202036004936
job_02012,0.2367158271653148,1.2512056225869357,0.3509624985260733,0.10614050742986786,0.060558678347038826,0.5891870910963568
job_02016,-1.0279795315247282,1.8632725229018092,0.30693916108902464,0.03731426075737718,0.02710624665433472,0.526757008622919
job_02017,0.5114768412022103,1.0565575227559023,0.3583615690861148,0.04790603805301301,0.03787619878321513,0.5898172744421786
