a,b,p
2.997569954089223,0.23989403057686307,0.1368337431000513
2.710672147009272,0.10098598025293584,0.06818555881716865
3.861234245598341,0.27759399236823407,0.1371032222426659
3.23013958043918,0.17909343446234982,0.08449045287792109
3.6775924574445495,0.23574767237507713,0.11739685079611996
3.7407062908071165,0.2311352735882706,0.11417619542204017
2.916802163875917,0.10743317724142463,0.08127171233763968
3.113692359048788,0.13604259610469005,0.06871846251683374
3.510286206163688,0.16296183813531914,0.08523109771810768
3.102538830965212,0.21215981602452577,0.11852570150277085
3.0893984484104386,0.1897161399399889,0.10680034485931661
2.7587037013543108,0.10840103220862159,0.07284521765383949
3.5147261126906986,0.14752849135824306,0.08140947181761722
3.0754757598267948,0.09611059167322057,0.06900826757220004
6.182455020779042,1.0529072399046715,0.47437505472015423
5.419243411839049,0.5708927121705764,0.26112744219982603
3.3002923532219905,0.17238330928863685,0.0847211745627744
2.9486842410757044,0.07033929765073327,0.05606893299259448
2.8904669552312274,0.11267674875270656,0.07643738847692881
6.150981974720517,1.0045822684585042,0.4406037246997029
3.24748280636899,0.1974878950141414,0.09866079775917412
3.3853136378275153,0.2367895938373043,0.11282836908649845
2.760741955807991,0.1370953508204268,0.0808867111110133
3.2362064722038544,0.09093414558282431,0.04313468241779348
2.9571624548789965,0.13757013113118507,0.07720006732128883
5.499247161513815,0.5846869600931861,0.25928680801998044
3.16217213394565,0.09161893086159015,0.05381300152047808
5.410332842595263,0.5341359589378998,0.24377154619284586
2.7223382126084212,0.12960369203510466,0.06719174245015866
2.643190311413408,0.1232252393476512,0.0761012843944722
2.863583348935332,0.11504667542709007,0.06963216457367062
3.1404338411170194,0.06096547953881393,0.05029647805173225
2.9104961588243135,0.10730430568507578,0.06828414145911028
3.2994251778650097,0.23887464169056583,0.11503327667689409
3.292917302090668,0.11699432333232986,0.08225720411691916
2.699855536163691,0.11474098658052499,0.05540168357305449
3.5863721449768797,0.13963059612807846,0.07567155589782802
11.951686812861103,0.8827994132094548,0.6242142616646635
11.95175824091255,0.882824735871626,0.6242292137396663
2.762390511927367,0.14320930522835712,0.07089567384394242
3.083256858770444,0.1618925060891521,0.08829595552370927
3.4319515025021747,0.09220816838857089,0.05969279021370652
2.926708617348211,0.12566681084834413,0.07695349304217484
3.282513896386464,0.05910658917018663,0.03708398834336247
2.9437274432914107,0.12406060667054589,0.06626656008176302
3.193142996826236,0.17995277761864717,0.0916219717204059
6.397994667059043,0.7587975751630108,0.3424628787269913
2.834187835757284,0.12571295578599484,0.06851525333175447
3.057486866767963,0.14040593089906636,0.0815615236515414
2.80516913867409,0.11953996756432717,0.07416556568566204
3.099361434812649,0.1341398747175115,0.07023573762493728
2.7881329704236144,0.0768970191314244,0.052811085741645135
